"subject.id" "subject.type" "activity"
"1" 1 "train" "STANDING"
"2" 1 "train" "STANDING"
"3" 1 "train" "STANDING"
"4" 1 "train" "STANDING"
"5" 1 "train" "STANDING"
"6" 1 "train" "STANDING"
"7" 1 "train" "STANDING"
"8" 1 "train" "STANDING"
"9" 1 "train" "STANDING"
"10" 1 "train" "STANDING"
"11" 1 "train" "STANDING"
"12" 1 "train" "STANDING"
"13" 1 "train" "STANDING"
"14" 1 "train" "STANDING"
"15" 1 "train" "STANDING"
"16" 1 "train" "STANDING"
"17" 1 "train" "STANDING"
"18" 1 "train" "STANDING"
"19" 1 "train" "STANDING"
"20" 1 "train" "STANDING"
"21" 1 "train" "STANDING"
"22" 1 "train" "STANDING"
"23" 1 "train" "STANDING"
"24" 1 "train" "STANDING"
"25" 1 "train" "STANDING"
"26" 1 "train" "STANDING"
"27" 1 "train" "STANDING"
"28" 1 "train" "SITTING"
"29" 1 "train" "SITTING"
"30" 1 "train" "SITTING"
"31" 1 "train" "SITTING"
"32" 1 "train" "SITTING"
"33" 1 "train" "SITTING"
"34" 1 "train" "SITTING"
"35" 1 "train" "SITTING"
"36" 1 "train" "SITTING"
"37" 1 "train" "SITTING"
"38" 1 "train" "SITTING"
"39" 1 "train" "SITTING"
"40" 1 "train" "SITTING"
"41" 1 "train" "SITTING"
"42" 1 "train" "SITTING"
"43" 1 "train" "SITTING"
"44" 1 "train" "SITTING"
"45" 1 "train" "SITTING"
"46" 1 "train" "SITTING"
"47" 1 "train" "SITTING"
"48" 1 "train" "SITTING"
"49" 1 "train" "SITTING"
"50" 1 "train" "SITTING"
"51" 1 "train" "SITTING"
"52" 1 "train" "LAYING"
"53" 1 "train" "LAYING"
"54" 1 "train" "LAYING"
"55" 1 "train" "LAYING"
"56" 1 "train" "LAYING"
"57" 1 "train" "LAYING"
"58" 1 "train" "LAYING"
"59" 1 "train" "LAYING"
"60" 1 "train" "LAYING"
"61" 1 "train" "LAYING"
"62" 1 "train" "LAYING"
"63" 1 "train" "LAYING"
"64" 1 "train" "LAYING"
"65" 1 "train" "LAYING"
"66" 1 "train" "LAYING"
"67" 1 "train" "LAYING"
"68" 1 "train" "LAYING"
"69" 1 "train" "LAYING"
"70" 1 "train" "LAYING"
"71" 1 "train" "LAYING"
"72" 1 "train" "LAYING"
"73" 1 "train" "LAYING"
"74" 1 "train" "LAYING"
"75" 1 "train" "LAYING"
"76" 1 "train" "LAYING"
"77" 1 "train" "LAYING"
"78" 1 "train" "LAYING"
"79" 1 "train" "WALKING"
"80" 1 "train" "WALKING"
"81" 1 "train" "WALKING"
